"species","mass","temp","MR","mean.mass","q10smr","group","color"
"Heteropneustes_fossilis",26,26,2.2022,NA,NA,"fish","#1B9E77"
"Heteropneustes_fossilis",36,26,2.9232,NA,NA,"fish","#1B9E77"
"Heteropneustes_fossilis",44,26,3.5728,NA,NA,"fish","#1B9E77"
"Heteropneustes_fossilis",56,26,4.4688,NA,NA,"fish","#1B9E77"
"Heteropneustes_fossilis",75,26,4.8825,23.91117,3.90164,"fish","#1B9E77"
"Hippoglossoides_platessoides",231,3.5,3.3957,NA,NA,"fish","#1B9E77"
"Hippoglossoides_platessoides",268,3.5,4.1272,NA,NA,"fish","#1B9E77"
"Hippoglossoides_platessoides",294,3.5,3.7044,NA,NA,"fish","#1B9E77"
"Hippoglossoides_platessoides",344,3.5,4.3344,NA,NA,"fish","#1B9E77"
"Hippoglossoides_platessoides",390,3.5,4.641,300.2918,22.47692,"fish","#1B9E77"
"Ictalurus_punctatus",4.43,23.5,0.46515,NA,NA,"fish","#1B9E77"
"Ictalurus_punctatus",5.37,23.5,1.157772,NA,NA,"fish","#1B9E77"
"Ictalurus_punctatus",5.43,23.5,0.391503,NA,NA,"fish","#1B9E77"
"Ictalurus_punctatus",6.71,23.5,1.296372,NA,NA,"fish","#1B9E77"
"Ictalurus_punctatus",7.24,23.5,0.881832,NA,NA,"fish","#1B9E77"
"Ictalurus_punctatus",7.25,23.5,0.76125,NA,NA,"fish","#1B9E77"
"Ictalurus_punctatus",7.61,23.5,0.548681,NA,NA,"fish","#1B9E77"
"Ictalurus_punctatus",8.27,23.5,1.325681,NA,NA,"fish","#1B9E77"
"Ictalurus_punctatus",825,18,24.255,11.00221,2.422681,"fish","#1B9E77"
"Labeo_rohita",6,25,4.6116,NA,NA,"fish","#1B9E77"
"Labeo_rohita",7,25,3.3173,NA,NA,"fish","#1B9E77"
"Labeo_rohita",8.5,25,3.31415,NA,NA,"fish","#1B9E77"
"Labeo_rohita",11.5,25,3.30855,NA,NA,"fish","#1B9E77"
"Labeo_rohita",11.5,25,3.32465,8.606227,6.778311,"fish","#1B9E77"
"Lepomis_gibbosus",44.92,20,1.41498,44.92,3.475318,"fish","#1B9E77"
"Lepomis_macrochirus",118,25,8.3426,NA,NA,"fish","#1B9E77"
"Lepomis_macrochirus",118,25,8.5078,NA,NA,"fish","#1B9E77"
"Lepomis_macrochirus",118,25,8.7556,NA,NA,"fish","#1B9E77"
"Lepomis_macrochirus",118,25,8.8382,118,16.47347,"fish","#1B9E77"
"Leporinus_fasciatus",3.95,25,0.384335,NA,NA,"fish","#1B9E77"
"Leporinus_fasciatus",7.6,30,0.84588,5.479051,0.963057,"fish","#1B9E77"
"Leuciscus_idus",600,5,8.4,NA,NA,"fish","#1B9E77"
"Leuciscus_idus",600,10,15.96,600,53.07662,"fish","#1B9E77"
"Limanda_limanda",236,10,4.7908,NA,NA,"fish","#1B9E77"
"Limanda_limanda",396,15,11.6424,NA,NA,"fish","#1B9E77"
"Limanda_limanda",400,5,4.2,334.3662,24.94288,"fish","#1B9E77"
"Lipophrys_pholis",0.03,16,0.015225,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.2,16,0.0609,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.2,16,0.06818,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.2,16,0.0903,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.22,16,0.117502,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.23,16,0.073416,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.23,16,0.086618,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.23,16,0.096761,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.23,16,0.11431,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.23,16,0.120911,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.24,16,0.072408,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.25,16,0.089075,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.27,16,0.08127,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.27,16,0.101493,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.28,16,0.08428,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.35,16,0.09457,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.38,16,0.07315,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.38,16,0.077406,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.41,16,0.093275,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.59,16,0.176351,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.63,16,0.210357,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.66,16,0.149226,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.66,16,0.176484,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.66,16,0.232848,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.7,16,0.20874,NA,NA,"fish","#1B9E77"
"Lipophrys_pholis",0.73,16,0.111398,NA,NA,"fish","#1B9E77"
