"species","mass","temp","MR","mean.mass","q10smr"
"Varanus_varius",4410,30,220.5,4410,449.8963
"Varanus_rosenbergi",1269.3,35,167.5476,1269.3,218.9158
"Vipera_berus",63,25,5.67,63,18.06557
"Xantusia_henshawi",3.5,15,0.1295,NA,NA
"Xantusia_henshawi",3.5,20,0.2485,NA,NA
"Xantusia_henshawi",3.5,25,0.3675,NA,NA
"Xantusia_henshawi",3.5,30,0.518,3.5,1.113902
"Xantusia_vigilis",1.5,30,0.2589,NA,NA
"Xantusia_vigilis",1.5,25,0.168,1.5,0.531749
"Xenodon_guentheri",50,20,1.75,50,8.70706
"Waglerophis_merremi",502,20,21.586,502,107.4003
"Xenodon_neuwiedii",53,20,1.961,53,9.756883
