Higher-level clade (strict phylogenetic order),Traditional Order,Traditional Family,Species,log10 productivity,log10 mass,Nest type,Foraging habitat,Developmental mode,Time of activity,Social system,Migratory mode,Diet
Caprimulgiformes-Apodiformes,Caprimulgiformes,Caprimulgidae,Caprimulgus europaeus,-0.466,1.826,open,terrestrial,semialtricial,nocturnal,Occasional,migrant,invertebrate
Caprimulgiformes-Apodiformes,Caprimulgiformes,Caprimulgidae,Caprimulgus ruficollis,-0.43,1.836,open,terrestrial,semialtricial,nocturnal,Pair,migrant,invertebrate
Caprimulgiformes-Apodiformes,Caprimulgiformes,Caprimulgidae,Caprimulgus aegyptius,-0.523,1.888,open,terrestrial,semialtricial,nocturnal,Pair,migrant,invertebrate
Caprimulgiformes-Apodiformes,Caprimulgiformes,Caprimulgidae,Phalaenoptilus nuttallii,-0.651,1.684,open,terrestrial,semialtricial,nocturnal,Pair,migrant,invertebrate
Caprimulgiformes-Apodiformes,Caprimulgiformes,Caprimulgidae,Nyctidromus albicollis,-0.703,1.762,open,terrestrial,semialtricial,nocturnal,Pair,nonmigrant,invertebrate
Caprimulgiformes-Apodiformes,Caprimulgiformes,Caprimulgidae,Chordeiles minor,-0.78,1.899,open,terrestrial,semialtricial,crepuscular,Pair,migrant,invertebrate
Caprimulgiformes-Apodiformes,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,-0.786,1.685,open,terrestrial,semialtricial,crepuscular,Pair,migrant,invertebrate
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Amazilia tobaci,-0.257,0.672,open,terrestrial,altricial,diurnal,Female only,nonmigrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Amazilia fimbriata,-0.275,0.69,open,terrestrial,altricial,diurnal,Female only,nonmigrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Amazilia tzacatl,-0.308,0.681,open,terrestrial,altricial,diurnal,Female only,nonmigrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Archilochus colubris,-0.075,0.49,open,terrestrial,altricial,diurnal,Female only,migrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Calypte anna,-0.277,0.628,open,terrestrial,altricial,diurnal,Female only,nonmigrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Selasphorus platycercus,-0.325,0.55,open,terrestrial,altricial,diurnal,Female only,migrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Selasphorus sasin,-0.209,0.527,open,terrestrial,altricial,diurnal,Female only,migrant,nectar
